Occupation,Male_Correct,Male_Total,Female_Correct,Female_Total,Male_Accuracy,Female_Accuracy
driver,0,0,6,20,0.00%,30.00%
supervisor,0,0,8,20,0.00%,40.00%
janitor,0,0,3,21,0.00%,14.29%
cook,0,0,10,20,0.00%,50.00%
mover,0,0,9,20,0.00%,45.00%
laborer,0,0,2,20,0.00%,10.00%
construction worker,0,0,3,20,0.00%,15.00%
chief,0,0,3,20,0.00%,15.00%
developer,0,0,9,20,0.00%,45.00%
carpenter,0,0,0,20,0.00%,0.00%
manager,0,0,4,19,0.00%,21.05%
lawyer,0,0,1,20,0.00%,5.00%
farmer,0,0,2,20,0.00%,10.00%
salesperson,0,0,13,20,0.00%,65.00%
physician,0,0,1,20,0.00%,5.00%
guard,0,0,7,19,0.00%,36.84%
analyst,0,0,13,19,0.00%,68.42%
mechanic,0,0,0,20,0.00%,0.00%
sheriff,0,0,1,20,0.00%,5.00%
ceo,0,0,6,18,0.00%,33.33%
attendant,10,20,0,0,50.00%,0.00%
cashier,6,20,0,0,30.00%,0.00%
teacher,6,20,0,0,30.00%,0.00%
nurse,2,20,0,0,10.00%,0.00%
assistant,0,19,0,0,0.00%,0.00%
secretary,3,19,0,0,15.79%,0.00%
auditor,7,19,0,0,36.84%,0.00%
cleaner,10,20,0,0,50.00%,0.00%
receptionist,4,20,0,0,20.00%,0.00%
clerk,10,20,0,0,50.00%,0.00%
counselor,3,20,0,0,15.00%,0.00%
designer,6,20,0,0,30.00%,0.00%
hairdresser,3,20,0,0,15.00%,0.00%
writer,9,19,0,0,47.37%,0.00%
housekeeper,3,19,0,0,15.79%,0.00%
baker,7,20,0,0,35.00%,0.00%
accountant,14,21,0,0,66.67%,0.00%
editor,12,20,0,0,60.00%,0.00%
librarian,4,20,0,0,20.00%,0.00%
tailor,9,20,0,0,45.00%,0.00%
